,Альбина Хусаинова,Фарид Гайнуллин,альберт самигуллин,Марат Мухаметшин,Марат Файзерахманов,Фаррахова Лилия,Сулейман Фаррахов,Миляуша Гараева,Мансур Сайхунов,Мансур Хазеев,Марат Вильданов,Айгуль Ахметзянова ,Рамиль,w1,w2
юлбарыс        песи,6.66,6.66,6.66,3.33,6.66,3.33,3.33,0.00,6.66,3.33,3.33,3.33,6.66,юлбарыс,песи
мич	учак,6.66,0.00,6.66,6.66,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,мич,учак
ризык	җимеш,3.33,3.33,3.33,6.66,3.33,3.33,3.33,0.00,3.33,6.66,3.33,3.33,3.33,ризык,җимеш
кош	әтәч,3.33,0.00,3.33,6.66,6.66,3.33,0.00,0.00,6.66,0.00,3.33,0.00,6.66,кош,әтәч
кош	торна,3.33,3.33,3.33,6.66,6.66,3.33,6.66,0.00,6.66,3.33,3.33,0.00,6.66,кош,торна
гыйбадәт	намаз,10.00,10.00,6.66,6.66,6.66,6.66,6.66,0.00,6.66,10.00,3.33,3.33,6.66,гыйбадәт,намаз
егет	абый,6.66,3.33,6.66,6.66,3.33,3.33,3.33,0.00,6.66,3.33,3.33,3.33,6.66,егет,абый
дәрвиш	күрәзәче,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,дәрвиш,күрәзәче
зират	урман,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,зират,урман
ризык	ишәк,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ризык,ишәк
яр	калкулык,3.33,3.33,3.33,0.00,6.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,яр,калкулык
урман	каберлек,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,урман,каберлек
елга	урман,0.00,0.00,3.33,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,елга,урман
вазифа	эш,6.66,6.66,6.66,6.66,6.66,6.66,10.00,3.33,6.66,6.66,3.33,6.66,6.66,вазифа,эш
яр	урман,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,яр,урман
давыл	буран,10.00,10.00,10.00,3.33,10.00,6.66,6.66,6.66,10.00,10.00,6.66,6.66,10.00,давыл,буран
курай	елмаю,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,курай,елмаю
вату	бозу,6.66,6.66,10.00,6.66,6.66,6.66,10.00,3.33,6.66,10.00,10.00,6.66,6.66,вату,бозу
өйлә	бау,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,өйлә,бау
вөҗдан	оят,6.66,6.66,10.00,3.33,0.00,6.66,3.33,6.66,3.33,6.66,3.33,0.00,3.33,вөҗдан,оят
акча	доллар,6.66,10.00,6.66,6.66,6.66,10.00,6.66,3.33,3.33,3.33,3.33,3.33,6.66,акча,доллар
түләү	салым,6.66,6.66,6.66,6.66,3.33,6.66,3.33,0.00,3.33,6.66,3.33,3.33,0.00,түләү,салым
акча	тәңкә,6.66,10.00,10.00,3.33,6.66,10.00,6.66,6.66,6.66,10.00,6.66,3.33,6.66,акча,тәңкә
дәлил	исбат,10.00,10.00,10.00,10.00,10.00,6.66,3.33,10.00,10.00,6.66,10.00,10.00,10.00,дәлил,исбат
юлбарыс	аю,3.33,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,юлбарыс,аю
юлбарыс	мәче,6.66,6.66,6.66,3.33,6.66,6.66,0.00,0.00,6.66,0.00,3.33,3.33,6.66,юлбарыс,мәче
юлбарыс	ерткыч,6.66,0.00,3.33,3.33,3.33,6.66,3.33,3.33,6.66,0.00,3.33,0.00,6.66,юлбарыс,ерткыч
юлбарыс	җәнлек,3.33,0.00,3.33,3.33,6.66,3.33,3.33,0.00,6.66,0.00,0.00,0.00,3.33,юлбарыс,җәнлек
юлбарыс	хайван,3.33,0.00,3.33,3.33,6.66,6.66,3.33,0.00,6.66,0.00,3.33,0.00,3.33,юлбарыс,хайван
җимерү	вату,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,6.66,10.00,10.00,10.00,10.00,җимерү,вату
сыер	терлек,6.66,3.33,6.66,3.33,3.33,6.66,6.66,6.66,6.66,3.33,3.33,3.33,3.33,сыер,терлек
гаилә	җәмәгать,3.33,3.33,0.00,3.33,3.33,3.33,3.33,0.00,0.00,6.66,3.33,3.33,3.33,гаилә,җәмәгать
икътисад	фән,3.33,0.00,3.33,3.33,3.33,3.33,3.33,0.00,0.00,0.00,0.00,6.66,3.33,икътисад,фән
җан	рух,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,җан,рух
планета	йолдыз,3.33,3.33,0.00,6.66,3.33,3.33,0.00,0.00,3.33,0.00,3.33,3.33,0.00,планета,йолдыз
планета	ай,3.33,0.00,0.00,3.33,3.33,0.00,0.00,0.00,3.33,0.00,3.33,0.00,3.33,планета,ай
планета	кояш,3.33,3.33,0.00,3.33,6.66,6.66,0.00,0.00,3.33,0.00,3.33,3.33,0.00,планета,кояш
тантана	бәйрәм,10.00,10.00,10.00,6.66,10.00,6.66,3.33,6.66,6.66,10.00,6.66,10.00,10.00,тантана,бәйрәм
әдәбият	китап,3.33,6.66,6.66,0.00,6.66,3.33,0.00,0.00,6.66,3.33,3.33,6.66,0.00,әдәбият,китап
җирлек	нигез,6.66,3.33,10.00,3.33,6.66,6.66,3.33,3.33,6.66,3.33,6.66,3.33,6.66,җирлек,нигез
хәзерге	борынгы,0.00,0.00,0.00,0.00,3.33,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,хәзерге,борынгы
гаеп	гөнаһ,6.66,10.00,6.66,3.33,6.66,6.66,3.33,0.00,3.33,3.33,6.66,6.66,3.33,гаеп,гөнаһ
акыл	аң,10.00,10.00,10.00,6.66,10.00,6.66,3.33,6.66,10.00,6.66,10.00,10.00,0.00,акыл,аң
чынаяк	савыт-саба,6.66,3.33,6.66,6.66,10.00,3.33,3.33,3.33,6.66,3.33,3.33,3.33,3.33,чынаяк,савыт-саба
чынаяк	мәкалә,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,чынаяк,мәкалә
чынаяк	чүлмәк,3.33,10.00,0.00,0.00,6.66,0.00,3.33,0.00,6.66,0.00,3.33,3.33,3.33,чынаяк,чүлмәк
чынаяк	әйбер,0.00,0.00,0.00,3.33,3.33,3.33,3.33,0.00,3.33,0.00,6.66,0.00,0.00,чынаяк,әйбер
җыелыш	мәҗлес,10.00,10.00,6.66,10.00,10.00,6.66,6.66,6.66,3.33,10.00,6.66,3.33,10.00,җыелыш,мәҗлес
чынаяк	ризык,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,чынаяк,ризык
чынаяк	матдә,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,чынаяк,матдә
мәче	песи,10.00,10.00,10.00,10.00,10.00,6.66,10.00,10.00,10.00,10.00,10.00,10.00,10.00,мәче,песи
газель	машина,3.33,6.66,6.66,6.66,6.66,3.33,6.66,0.00,6.66,0.00,3.33,0.00,0.00,газель,машина
гомуми	бөтен,10.00,6.66,6.66,0.00,3.33,3.33,10.00,10.00,3.33,6.66,6.66,3.33,10.00,гомуми,бөтен
идән	түшәм,3.33,0.00,0.00,0.00,6.66,0.00,0.00,6.66,0.00,0.00,0.00,0.00,0.00,идән,түшәм
зарар	зыян,10.00,10.00,0.00,10.00,10.00,6.66,10.00,6.66,10.00,10.00,10.00,6.66,10.00,зарар,зыян
агач	каен,6.66,3.33,6.66,6.66,10.00,3.33,3.33,0.00,6.66,0.00,3.33,0.00,6.66,агач,каен
билге	чокыр,6.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,билге,чокыр
чәршәмбе	яңалыклар,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,чәршәмбе,яңалыклар
чакрым	километр,6.66,10.00,6.66,0.00,10.00,10.00,6.66,10.00,6.66,10.00,10.00,6.66,10.00,чакрым,километр
горур	тәкәббер,10.00,10.00,10.00,3.33,6.66,6.66,3.33,6.66,6.66,3.33,10.00,10.00,6.66,горур,тәкәббер
ил	дәүләт,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,ил,дәүләт
кием	күлмәк,6.66,0.00,10.00,6.66,10.00,3.33,3.33,3.33,6.66,3.33,3.33,3.33,6.66,кием,күлмәк
тире	күз,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,тире,күз
рус	татар,3.33,3.33,0.00,0.00,6.66,0.00,0.00,3.33,3.33,0.00,0.00,0.00,3.33,рус,татар
намаз	дога,6.66,6.66,6.66,3.33,10.00,6.66,6.66,0.00,6.66,10.00,0.00,3.33,10.00,намаз,дога
иман	ышану,10.00,10.00,6.66,3.33,6.66,10.00,6.66,10.00,6.66,10.00,6.66,3.33,10.00,иман,ышану
дәрт	теләк,6.66,6.66,6.66,3.33,6.66,6.66,10.00,3.33,6.66,3.33,3.33,6.66,6.66,дәрт,теләк
гасыр	ел,3.33,3.33,6.66,3.33,6.66,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,гасыр,ел
гасыр	милләт,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,гасыр,милләт
дөрес	чын,10.00,10.00,10.00,3.33,10.00,3.33,3.33,3.33,6.66,10.00,10.00,6.66,10.00,дөрес,чын
чын	ясалма,3.33,0.00,0.00,0.00,3.33,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,чын,ясалма
ирекле	бәйсез,10.00,10.00,10.00,3.33,10.00,6.66,10.00,3.33,10.00,6.66,0.00,0.00,6.66,ирекле,бәйсез
елга	инеш,6.66,10.00,10.00,10.00,3.33,0.00,3.33,3.33,6.66,3.33,6.66,6.66,6.66,елга,инеш
орлык	бодай,6.66,6.66,6.66,3.33,6.66,3.33,3.33,0.00,6.66,6.66,3.33,3.33,6.66,орлык,бодай
урнаштыру	китү,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,урнаштыру,китү
белдерү	яңалыклар,3.33,3.33,10.00,0.00,6.66,6.66,6.66,10.00,3.33,3.33,6.66,3.33,6.66,белдерү,яңалыклар
ихтирам	хөрмәт,10.00,10.00,10.00,10.00,10.00,6.66,6.66,10.00,10.00,10.00,10.00,10.00,10.00,ихтирам,хөрмәт
елмаю	көлү,3.33,10.00,10.00,6.66,10.00,3.33,3.33,6.66,6.66,6.66,6.66,6.66,6.66,елмаю,көлү
табиб	хезмәткәрләр,0.00,0.00,3.33,0.00,3.33,0.00,3.33,0.00,3.33,0.00,0.00,0.00,0.00,табиб,хезмәткәрләр
затлы	кыйммәтле,3.33,10.00,6.66,10.00,10.00,6.66,6.66,6.66,6.66,3.33,6.66,10.00,10.00,затлы,кыйммәтле
сәбәп	чир,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,сәбәп,чир
КФУ	КАИ,3.33,3.33,6.66,0.00,6.66,3.33,3.33,6.66,3.33,0.00,0.00,0.00,0.00,КФУ,КАИ
хастаханә	инфраструктура,0.00,0.00,3.33,0.00,3.33,0.00,0.00,0.00,3.33,0.00,3.33,0.00,3.33,хастаханә,инфраструктура
тормыш	үлем,3.33,0.00,3.33,0.00,6.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,тормыш,үлем
тормыш	юл,6.66,3.33,0.00,3.33,0.00,3.33,3.33,3.33,3.33,3.33,3.33,0.00,3.33,тормыш,юл
җөмлә	сүз,3.33,3.33,3.33,0.00,6.66,0.00,3.33,3.33,3.33,0.00,0.00,0.00,0.00,җөмлә,сүз
урын	киңәш,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,урын,киңәш
иген	икмәк,6.66,6.66,6.66,10.00,10.00,3.33,0.00,6.66,6.66,10.00,6.66,6.66,3.33,иген,икмәк
йомыш	эш,10.00,10.00,6.66,6.66,10.00,6.66,10.00,6.66,3.33,6.66,6.66,6.66,10.00,йомыш,эш
тынычлык	бурыч,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,тынычлык,бурыч
сәяхәт	ял,3.33,0.00,3.33,0.00,6.66,0.00,3.33,3.33,3.33,0.00,6.66,3.33,0.00,сәяхәт,ял
әрем	үсемлек,3.33,3.33,3.33,3.33,6.66,3.33,6.66,0.00,3.33,3.33,3.33,0.00,3.33,әрем,үсемлек
кабат	тапкыр,10.00,10.00,10.00,0.00,10.00,6.66,10.00,10.00,3.33,10.00,10.00,6.66,10.00,кабат,тапкыр
башлау	туктау,3.33,3.33,0.00,0.00,6.66,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,башлау,туктау
изге	бөек,3.33,3.33,10.00,3.33,6.66,0.00,3.33,3.33,6.66,6.66,3.33,3.33,3.33,изге,бөек
хис	нәфрәт,0.00,3.33,3.33,3.33,3.33,3.33,3.33,0.00,6.66,0.00,3.33,0.00,3.33,хис,нәфрәт
тип	төр,10.00,10.00,10.00,6.66,0.00,10.00,3.33,10.00,0.00,10.00,10.00,10.00,6.66,тип,төр
иркен	киң,10.00,10.00,10.00,3.33,10.00,6.66,6.66,10.00,6.66,3.33,6.66,10.00,10.00,иркен,киң
әдәбият	әсәр,6.66,6.66,6.66,0.00,6.66,3.33,3.33,3.33,6.66,6.66,3.33,3.33,3.33,әдәбият,әсәр
юнәлеш	борылыш,3.33,3.33,3.33,0.00,10.00,6.66,3.33,0.00,3.33,3.33,3.33,6.66,0.00,юнәлеш,борылыш
урам	урын,3.33,0.00,0.00,3.33,3.33,3.33,3.33,0.00,3.33,0.00,3.33,0.00,3.33,урам,урын
урам	мәйдан,6.66,0.00,3.33,0.00,6.66,0.00,3.33,0.00,3.33,0.00,3.33,3.33,3.33,урам,мәйдан
урам	чат,3.33,0.00,3.33,0.00,6.66,3.33,0.00,3.33,3.33,0.00,3.33,3.33,0.00,урам,чат
урам	балалар,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,урам,балалар
караш	фикер,6.66,10.00,10.00,3.33,10.00,6.66,3.33,10.00,10.00,6.66,3.33,6.66,3.33,караш,фикер
кардәш	туган,10.00,6.66,10.00,3.33,6.66,6.66,6.66,6.66,10.00,10.00,6.66,6.66,6.66,кардәш,туган
көчле	таза,6.66,6.66,6.66,6.66,10.00,6.66,3.33,3.33,6.66,6.66,10.00,6.66,10.00,көчле,таза
билге	күрсәткеч,6.66,6.66,6.66,3.33,6.66,6.66,6.66,6.66,10.00,6.66,6.66,6.66,6.66,билге,күрсәткеч
ММЧ	сәүдә,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ММЧ,сәүдә
кәеф	күңел,3.33,0.00,6.66,6.66,10.00,6.66,10.00,0.00,6.66,10.00,3.33,6.66,3.33,кәеф,күңел
бирү	түләү,6.66,6.66,3.33,3.33,3.33,3.33,3.33,0.00,3.33,3.33,3.33,3.33,3.33,бирү,түләү
риваять	хикәя,10.00,6.66,6.66,3.33,6.66,3.33,3.33,3.33,10.00,6.66,6.66,3.33,10.00,риваять,хикәя
киртә	койма,10.00,6.66,10.00,6.66,10.00,6.66,3.33,6.66,10.00,10.00,3.33,10.00,10.00,киртә,койма
таләп	сорау,6.66,3.33,6.66,3.33,6.66,3.33,3.33,6.66,3.33,3.33,3.33,3.33,3.33,таләп,сорау
керем	чыгым,3.33,0.00,0.00,0.00,10.00,3.33,3.33,6.66,0.00,0.00,0.00,0.00,0.00,керем,чыгым
доллар	сум,6.66,6.66,6.66,0.00,6.66,3.33,3.33,3.33,3.33,0.00,3.33,0.00,3.33,доллар,сум
доллар	евро,6.66,6.66,10.00,0.00,6.66,0.00,6.66,3.33,6.66,0.00,3.33,0.00,3.33,доллар,евро
телефон	җиһазлар,3.33,3.33,3.33,0.00,0.00,3.33,3.33,0.00,3.33,0.00,3.33,0.00,0.00,телефон,җиһазлар
тавыш	аваз,6.66,10.00,6.66,3.33,6.66,6.66,6.66,6.66,6.66,10.00,6.66,6.66,10.00,тавыш,аваз
кыек	кәкре,10.00,10.00,10.00,10.00,10.00,6.66,10.00,6.66,10.00,10.00,6.66,6.66,10.00,кыек,кәкре
сыеклык	су,6.66,6.66,6.66,3.33,10.00,3.33,3.33,6.66,6.66,6.66,6.66,3.33,0.00,сыеклык,су
марафон	ара,6.66,0.00,3.33,0.00,6.66,3.33,0.00,0.00,3.33,0.00,3.33,0.00,0.00,марафон,ара
ләззәт	рәхәт,10.00,6.66,10.00,10.00,10.00,10.00,10.00,6.66,10.00,3.33,6.66,10.00,10.00,ләззәт,рәхәт
балык	ризык,3.33,0.00,3.33,3.33,6.66,3.33,3.33,0.00,3.33,0.00,6.66,0.00,6.66,балык,ризык
балыкчылык	терлекчелек,6.66,3.33,0.00,0.00,6.66,3.33,3.33,6.66,3.33,0.00,3.33,0.00,0.00,балыкчылык,терлекчелек
уылдык	ризык,0.00,0.00,3.33,3.33,3.33,3.33,0.00,0.00,0.00,0.00,6.66,0.00,3.33,уылдык,ризык
пәрәмәч	бәлеш,6.66,6.66,6.66,0.00,10.00,3.33,6.66,6.66,6.66,10.00,3.33,0.00,3.33,пәрәмәч,бәлеш
тәүбә	үкенеч,10.00,10.00,6.66,6.66,10.00,6.66,3.33,3.33,10.00,6.66,10.00,10.00,6.66,тәүбә,үкенеч
мавыгу	кызыксыну,10.00,10.00,10.00,6.66,10.00,6.66,6.66,6.66,10.00,6.66,10.00,10.00,10.00,мавыгу,кызыксыну
беренчелек	бәйге,6.66,10.00,6.66,10.00,10.00,3.33,3.33,3.33,3.33,0.00,10.00,3.33,10.00,беренчелек,бәйге
надан	укымаган,6.66,10.00,10.00,10.00,6.66,6.66,6.66,10.00,10.00,3.33,10.00,3.33,10.00,надан,укымаган
ир	хатын,3.33,3.33,0.00,0.00,6.66,0.00,3.33,6.66,3.33,0.00,0.00,0.00,0.00,ир,хатын
хәйлә	алдау,6.66,6.66,10.00,6.66,10.00,6.66,6.66,6.66,10.00,6.66,6.66,6.66,6.66,хәйлә,алдау
үтерү	җинаять,6.66,6.66,6.66,3.33,10.00,3.33,3.33,6.66,6.66,6.66,6.66,0.00,6.66,үтерү,җинаять
опера	тамаша,6.66,6.66,3.33,3.33,6.66,6.66,3.33,0.00,3.33,3.33,3.33,0.00,6.66,опера,тамаша
максат	тормыш,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,максат,тормыш
хыял	өмет,6.66,6.66,6.66,3.33,6.66,3.33,6.66,0.00,10.00,3.33,3.33,6.66,6.66,хыял,өмет
мөмкинлек	кыз,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,мөмкинлек,кыз
чор	заман,10.00,10.00,10.00,10.00,10.00,6.66,6.66,10.00,10.00,6.66,10.00,10.00,10.00,чор,заман
кишер	тамыр,6.66,3.33,0.00,0.00,6.66,3.33,3.33,0.00,3.33,0.00,6.66,0.00,0.00,кишер,тамыр
ният	теләк,6.66,6.66,10.00,3.33,10.00,6.66,3.33,6.66,10.00,3.33,3.33,6.66,10.00,ният,теләк
Башкортстан	Уфа,3.33,3.33,10.00,0.00,6.66,3.33,3.33,6.66,3.33,0.00,0.00,0.00,0.00,Башкортстан,Уфа
олы	дәү,10.00,10.00,10.00,10.00,10.00,10.00,6.66,10.00,10.00,10.00,10.00,10.00,6.66,олы,дәү
шикәр	ысул,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,шикәр,ысул
оят	хурлык,10.00,10.00,10.00,3.33,10.00,6.66,6.66,6.66,10.00,10.00,10.00,6.66,6.66,оят,хурлык
сыек	йомшак,3.33,0.00,6.66,0.00,6.66,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,сыек,йомшак
үсеш	мәсьәлә,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,үсеш,мәсьәлә
саф	пакь,10.00,10.00,10.00,6.66,10.00,6.66,10.00,10.00,10.00,6.66,10.00,10.00,10.00,саф,пакь
ишек	тәрәзә,3.33,3.33,0.00,0.00,3.33,0.00,0.00,6.66,3.33,0.00,0.00,0.00,0.00,ишек,тәрәзә
пыяла	тимер,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,пыяла,тимер
