,Альбина,Рамиль Единственный,Ильназ Фазлиахметов,Фарид Гайнуллин,альберт самигуллин,Марат Мухаметшин,Марат Файзерахманов,Фаррахова Лилия,Мансур Сайхунов,Мансур Хазеев,Миляуша Гараева,Айгуль Ахметзянова ,Марат Вильданов,w1,w2
мәхәббәт        мөнәсәбәт,6.66,3.33,3.33,3.33,10.00,10.00,3.33,10.00,6.66,6.66,0.00,6.66,3.33,мәхәббәт,мөнәсәбәт
уңыш	йомырка,6.66,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,уңыш,йомырка
акция	җанлы,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,акция,җанлы
акция	тормыш,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,акция,тормыш
китап	китапханә,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,6.66,10.00,10.00,китап,китапханә
банк	акча,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,3.33,10.00,10.00,банк,акча
профессор	кыяр,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,профессор,кыяр
патша	кәбестә,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,патша,кәбестә
яһүд	Израиль,10.00,10.00,10.00,10.00,10.00,6.66,10.00,10.00,10.00,10.00,6.66,10.00,10.00,яһүд,Израиль
Израиль	Фәләстин,10.00,6.66,3.33,10.00,6.66,10.00,10.00,10.00,6.66,10.00,0.00,3.33,10.00,Израиль,Фәләстин
изге	кыяр,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,изге,кыяр
Рубин	футбол,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,6.66,0.00,3.33,10.00,6.66,Рубин,футбол
теннис	ракетка,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,3.33,10.00,6.66,теннис,ракетка
революция	тынычлык,10.00,0.00,10.00,0.00,6.66,10.00,0.00,6.66,3.33,0.00,0.00,0.00,3.33,революция,тынычлык
кызыл	террор,6.66,0.00,10.00,6.66,3.33,6.66,6.66,3.33,3.33,3.33,3.33,0.00,0.00,кызыл,террор
канун	адвокат,10.00,6.66,6.66,10.00,6.66,6.66,10.00,6.66,10.00,6.66,6.66,6.66,3.33,канун,адвокат
фильм	йолдыз,6.66,0.00,6.66,10.00,6.66,6.66,6.66,0.00,3.33,0.00,0.00,6.66,3.33,фильм,йолдыз
фильм	режиссер,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,6.66,6.66,6.66,6.66,6.66,фильм,режиссер
фильм	тәнкыйть,6.66,3.33,10.00,6.66,3.33,6.66,0.00,6.66,3.33,3.33,0.00,0.00,3.33,фильм,тәнкыйть
фильм	театр,6.66,6.66,3.33,10.00,6.66,3.33,6.66,3.33,6.66,0.00,0.00,3.33,3.33,фильм,театр
физика	атом,10.00,10.00,3.33,10.00,10.00,6.66,10.00,6.66,6.66,10.00,6.66,6.66,6.66,физика,атом
галәм	химия,6.66,0.00,0.00,6.66,10.00,3.33,3.33,3.33,3.33,6.66,0.00,0.00,6.66,галәм,химия
хәмер	химия,6.66,0.00,0.00,6.66,0.00,3.33,0.00,0.00,3.33,0.00,0.00,0.00,3.33,хәмер,химия
эчү	машина,3.33,0.00,3.33,3.33,0.00,0.00,3.33,3.33,3.33,0.00,0.00,0.00,0.00,эчү,машина
эчү	колак,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,эчү,колак
эчү	авыз,10.00,6.66,6.66,6.66,10.00,10.00,10.00,6.66,6.66,3.33,3.33,0.00,10.00,эчү,авыз
бәби	әни,10.00,10.00,10.00,10.00,10.00,10.00,6.66,10.00,6.66,6.66,6.66,6.66,10.00,бәби,әни
эчү	әни,3.33,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,эчү,әни
корал	үтәү,3.33,0.00,0.00,0.00,6.66,3.33,0.00,6.66,0.00,0.00,0.00,0.00,3.33,корал,үтәү
абый	дәрвиш,3.33,0.00,0.00,0.00,3.33,3.33,0.00,0.00,3.33,3.33,0.00,0.00,0.00,абый,дәрвиш
торна	үтәү,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,торна,үтәү
егет	абый,10.00,10.00,6.66,6.66,10.00,6.66,6.66,6.66,6.66,10.00,6.66,3.33,10.00,егет,абый
сәяхәт	машина,6.66,3.33,6.66,10.00,10.00,10.00,10.00,6.66,3.33,3.33,6.66,6.66,10.00,сәяхәт,машина
дәрвиш	күрәзәче,6.66,0.00,0.00,3.33,6.66,0.00,3.33,3.33,0.00,0.00,0.00,0.00,3.33,дәрвиш,күрәзәче
зират	урман,6.66,0.00,0.00,6.66,6.66,6.66,0.00,6.66,0.00,3.33,0.00,0.00,3.33,зират,урман
яр	калкулык,10.00,6.66,3.33,10.00,10.00,3.33,6.66,6.66,0.00,0.00,6.66,0.00,6.66,яр,калкулык
урман	каберлек,6.66,0.00,0.00,6.66,6.66,3.33,0.00,3.33,0.00,3.33,0.00,0.00,3.33,урман,каберлек
елга	урман,6.66,3.33,0.00,0.00,10.00,3.33,0.00,6.66,3.33,3.33,6.66,0.00,3.33,елга,урман
дәрвиш	кол,3.33,0.00,0.00,3.33,6.66,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,дәрвиш,кол
яр	урман,3.33,0.00,0.00,3.33,3.33,3.33,3.33,3.33,0.00,6.66,6.66,0.00,0.00,яр,урман
егет	тылсымчы,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,егет,тылсымчы
курай	елмаю,0.00,0.00,0.00,3.33,3.33,0.00,0.00,0.00,0.00,6.66,0.00,0.00,0.00,курай,елмаю
пыяла	сихерче,6.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,пыяла,сихерче
өйлә	бау,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,өйлә,бау
атом	сәфәр,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,атом,сәфәр
акча	байлык,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,6.66,6.66,10.00,акча,байлык
акча	милек,10.00,10.00,10.00,10.00,6.66,10.00,6.66,6.66,10.00,6.66,6.66,6.66,10.00,акча,милек
акча	мөлкәт,10.00,10.00,10.00,10.00,10.00,10.00,3.33,10.00,10.00,10.00,6.66,6.66,10.00,акча,мөлкәт
акча	ришвәт,10.00,6.66,10.00,10.00,10.00,10.00,6.66,6.66,10.00,10.00,6.66,3.33,6.66,акча,ришвәт
акча	мал,10.00,10.00,10.00,10.00,10.00,6.66,6.66,10.00,10.00,6.66,6.66,6.66,10.00,акча,мал
акча	табыш,10.00,3.33,10.00,10.00,10.00,6.66,6.66,10.00,10.00,10.00,6.66,3.33,10.00,акча,табыш
акча	юу,3.33,0.00,3.33,6.66,6.66,0.00,0.00,0.00,3.33,0.00,0.00,0.00,3.33,акча,юу
акча	операция,6.66,0.00,6.66,6.66,6.66,3.33,0.00,6.66,0.00,6.66,0.00,0.00,6.66,акча,операция
юлбарыс	аю,6.66,3.33,0.00,3.33,6.66,3.33,3.33,3.33,6.66,6.66,6.66,0.00,3.33,юлбарыс,аю
психология	борчылу,6.66,3.33,3.33,3.33,6.66,6.66,3.33,6.66,6.66,10.00,0.00,0.00,6.66,психология,борчылу
психология	курку,6.66,3.33,3.33,3.33,10.00,6.66,0.00,6.66,6.66,10.00,0.00,0.00,6.66,психология,курку
психология	төшенкелек,6.66,3.33,6.66,6.66,10.00,6.66,6.66,6.66,6.66,10.00,6.66,3.33,6.66,психология,төшенкелек
психология	хастаханә,3.33,0.00,3.33,3.33,6.66,3.33,3.33,6.66,6.66,10.00,3.33,3.33,6.66,психология,хастаханә
психология	табиб,6.66,0.00,3.33,3.33,10.00,6.66,6.66,0.00,10.00,10.00,0.00,3.33,6.66,психология,табиб
психология	зиһен,10.00,3.33,6.66,6.66,6.66,6.66,3.33,10.00,6.66,3.33,6.66,3.33,6.66,психология,зиһен
психология	акыл,6.66,6.66,6.66,3.33,6.66,6.66,6.66,3.33,6.66,3.33,6.66,3.33,6.66,психология,акыл
психология	сәламәтлек,10.00,3.33,3.33,3.33,6.66,3.33,0.00,6.66,6.66,6.66,0.00,0.00,6.66,психология,сәламәтлек
психология	белем,10.00,3.33,0.00,3.33,3.33,3.33,3.33,3.33,6.66,6.66,0.00,0.00,6.66,психология,белем
планета	йолдызлык,3.33,6.66,10.00,10.00,10.00,10.00,10.00,10.00,6.66,10.00,6.66,6.66,10.00,планета,йолдызлык
планета	тереклек,10.00,6.66,10.00,10.00,10.00,6.66,0.00,6.66,3.33,10.00,0.00,0.00,10.00,планета,тереклек
планета	галәм,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,6.66,10.00,6.66,6.66,10.00,планета,галәм
планета	астрономия,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,6.66,10.00,6.66,планета,астрономия
прецедент	мәгълүмат,6.66,3.33,0.00,3.33,6.66,10.00,3.33,3.33,3.33,0.00,0.00,0.00,3.33,прецедент,мәгълүмат
прецедент	белем,3.33,3.33,0.00,3.33,0.00,10.00,0.00,3.33,3.33,0.00,0.00,0.00,6.66,прецедент,белем
прецедент	канун,6.66,10.00,6.66,10.00,0.00,6.66,6.66,6.66,3.33,0.00,3.33,0.00,3.33,прецедент,канун
прецедент	җыелма,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,3.33,прецедент,җыелма
прецедент	төркем,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,прецедент,төркем
чынаяк	чәй,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,6.66,3.33,6.66,чынаяк,чәй
чынаяк	мәкалә,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,6.66,0.00,0.00,0.00,чынаяк,мәкалә
чынаяк	эчү,10.00,10.00,10.00,10.00,6.66,10.00,10.00,10.00,10.00,10.00,0.00,0.00,10.00,чынаяк,эчү
чынаяк	ризык,6.66,6.66,10.00,6.66,3.33,10.00,6.66,3.33,3.33,10.00,3.33,0.00,6.66,чынаяк,ризык
чынаяк	матдә,3.33,0.00,0.00,0.00,3.33,3.33,0.00,0.00,0.00,0.00,0.00,0.00,3.33,чынаяк,матдә
чынаяк	сыеклык,6.66,6.66,6.66,6.66,6.66,6.66,6.66,3.33,6.66,10.00,0.00,0.00,6.66,чынаяк,сыеклык
энергия	секретарь,0.00,0.00,0.00,3.33,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,энергия,секретарь
секретарь	парламент,6.66,3.33,3.33,10.00,3.33,6.66,6.66,3.33,3.33,6.66,6.66,3.33,3.33,секретарь,парламент
энергия	лаборатория,6.66,6.66,6.66,6.66,3.33,6.66,3.33,3.33,6.66,6.66,0.00,0.00,3.33,энергия,лаборатория
компьютер	лаборатория,6.66,6.66,0.00,6.66,10.00,6.66,6.66,6.66,6.66,6.66,0.00,3.33,3.33,компьютер,лаборатория
корал	яшерен,10.00,3.33,0.00,3.33,3.33,6.66,3.33,3.33,3.33,6.66,0.00,0.00,0.00,корал,яшерен
полиция	эз,10.00,6.66,6.66,10.00,10.00,6.66,6.66,0.00,3.33,3.33,6.66,3.33,3.33,полиция,эз
полиция	тикшерү,10.00,10.00,10.00,10.00,10.00,6.66,10.00,10.00,6.66,10.00,6.66,3.33,6.66,полиция,тикшерү
тикшерү	тырышу,6.66,0.00,3.33,0.00,6.66,0.00,0.00,6.66,3.33,0.00,0.00,0.00,0.00,тикшерү,тырышу
Марс	су,6.66,3.33,0.00,0.00,3.33,3.33,3.33,3.33,0.00,3.33,0.00,0.00,3.33,Марс,су
Марс	галим,6.66,3.33,0.00,3.33,0.00,6.66,0.00,3.33,3.33,6.66,0.00,0.00,6.66,Марс,галим
яңалыклар	хисап,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,3.33,3.33,0.00,0.00,0.00,яңалыклар,хисап
тирә-юнь	мохит,10.00,3.33,10.00,10.00,10.00,10.00,10.00,10.00,10.00,6.66,10.00,6.66,10.00,тирә-юнь,мохит
сурәт	үзән,6.66,3.33,0.00,3.33,3.33,3.33,0.00,0.00,0.00,6.66,0.00,0.00,0.00,сурәт,үзән
ачыш	галәм,10.00,3.33,3.33,3.33,3.33,3.33,3.33,6.66,3.33,10.00,0.00,3.33,6.66,ачыш,галәм
су	корылык,10.00,6.66,10.00,6.66,10.00,10.00,6.66,10.00,10.00,10.00,0.00,0.00,10.00,су,корылык
билге	чокыр,6.66,0.00,0.00,0.00,3.33,0.00,0.00,3.33,0.00,3.33,0.00,0.00,0.00,билге,чокыр
чәршәмбе	яңалыклар,3.33,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,чәршәмбе,яңалыклар
компьютер	яңалыклар,3.33,3.33,3.33,6.66,10.00,3.33,10.00,0.00,3.33,6.66,0.00,0.00,3.33,компьютер,яңалыклар
җир	тигезлек,6.66,3.33,0.00,10.00,10.00,3.33,6.66,6.66,3.33,3.33,3.33,3.33,3.33,җир,тигезлек
атмосфера	ландшафт,6.66,3.33,0.00,10.00,6.66,10.00,6.66,3.33,0.00,3.33,0.00,3.33,0.00,атмосфера,ландшафт
президент	медаль,6.66,3.33,0.00,6.66,3.33,6.66,3.33,3.33,3.33,6.66,0.00,0.00,3.33,президент,медаль
сугыш	гаскәрләр,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,6.66,10.00,6.66,6.66,10.00,сугыш,гаскәрләр
язма	сан,3.33,3.33,0.00,6.66,0.00,6.66,10.00,6.66,3.33,10.00,0.00,0.00,6.66,язма,сан
театр	тарих,3.33,3.33,0.00,0.00,6.66,6.66,3.33,0.00,0.00,6.66,0.00,0.00,0.00,театр,тарих
волонтер	девиз,6.66,3.33,3.33,10.00,6.66,3.33,3.33,0.00,3.33,0.00,0.00,0.00,3.33,волонтер,девиз
гайбәт	тану,3.33,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,6.66,0.00,0.00,0.00,гайбәт,тану
бизәү	батырлык,6.66,0.00,0.00,0.00,6.66,3.33,0.00,0.00,0.00,6.66,0.00,0.00,0.00,бизәү,батырлык
гасыр	милләт,6.66,0.00,0.00,3.33,10.00,6.66,6.66,0.00,0.00,6.66,6.66,0.00,3.33,гасыр,милләт
кичектерү	фашизм,0.00,0.00,0.00,6.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,кичектерү,фашизм
кичектерү	яңалыклар,3.33,0.00,0.00,3.33,3.33,0.00,0.00,3.33,3.33,6.66,0.00,0.00,0.00,кичектерү,яңалыклар
министр	партия,6.66,6.66,6.66,10.00,10.00,10.00,3.33,10.00,6.66,6.66,6.66,6.66,6.66,министр,партия
тынычлык	план,0.00,3.33,0.00,0.00,3.33,3.33,0.00,0.00,3.33,0.00,0.00,0.00,0.00,тынычлык,план
азчылык	тынычлык,6.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,6.66,0.00,0.00,0.00,азчылык,тынычлык
тырышу	тынычлык,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,3.33,3.33,0.00,0.00,0.00,тырышу,тынычлык
хөкүмәт	кризис,6.66,6.66,3.33,6.66,10.00,10.00,6.66,6.66,6.66,6.66,6.66,3.33,6.66,хөкүмәт,кризис
урнаштыру	китү,6.66,3.33,0.00,0.00,0.00,0.00,0.00,3.33,0.00,6.66,0.00,0.00,0.00,урнаштыру,китү
урнаштыру	табыш,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.66,0.00,0.00,0.00,урнаштыру,табыш
энергия	кризис,3.33,0.00,0.00,0.00,0.00,6.66,6.66,3.33,0.00,3.33,0.00,0.00,0.00,энергия,кризис
белдерү	яңалыклар,10.00,6.66,10.00,10.00,10.00,10.00,6.66,6.66,6.66,10.00,6.66,6.66,10.00,белдерү,яңалыклар
инсульт	хастаханә,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,6.66,3.33,10.00,инсульт,хастаханә
гарип	үлем,6.66,3.33,0.00,6.66,6.66,3.33,6.66,3.33,3.33,10.00,3.33,0.00,0.00,гарип,үлем
корбан	һәлакәт,10.00,6.66,0.00,6.66,10.00,0.00,10.00,10.00,6.66,6.66,0.00,6.66,6.66,корбан,һәлакәт
дәвалау	тергезү,10.00,6.66,6.66,10.00,10.00,6.66,10.00,10.00,10.00,10.00,0.00,0.00,10.00,дәвалау,тергезү
журнал	берләшмә,6.66,3.33,0.00,0.00,3.33,6.66,3.33,3.33,0.00,6.66,0.00,0.00,6.66,журнал,берләшмә
табиб	җаваплылык,10.00,3.33,3.33,3.33,10.00,6.66,3.33,10.00,6.66,10.00,3.33,3.33,3.33,табиб,җаваплылык
җаваплылык	бурыч,10.00,6.66,0.00,10.00,6.66,6.66,6.66,6.66,6.66,10.00,6.66,6.66,10.00,җаваплылык,бурыч
мәктәп	үзәк,6.66,0.00,6.66,3.33,3.33,3.33,3.33,3.33,0.00,3.33,0.00,0.00,0.00,мәктәп,үзәк
сәбәп	чир,6.66,0.00,0.00,6.66,10.00,3.33,6.66,6.66,3.33,10.00,0.00,0.00,0.00,сәбәп,чир
сәбәп	хакыйкать,6.66,0.00,0.00,0.00,6.66,3.33,0.00,0.00,0.00,10.00,0.00,0.00,0.00,сәбәп,хакыйкать
йөз	процент,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,6.66,0.00,0.00,йөз,процент
үлем	хөкем,6.66,0.00,6.66,3.33,10.00,10.00,6.66,6.66,6.66,6.66,3.33,0.00,3.33,үлем,хөкем
үлем	тоткын,3.33,6.66,0.00,0.00,6.66,10.00,3.33,10.00,6.66,10.00,3.33,0.00,0.00,үлем,тоткын
адвокат	исбат,10.00,6.66,10.00,10.00,10.00,10.00,10.00,6.66,6.66,10.00,6.66,3.33,10.00,адвокат,исбат
тормыш	юл,10.00,10.00,6.66,10.00,10.00,10.00,3.33,3.33,6.66,10.00,6.66,0.00,10.00,тормыш,юл
сүз	охшаш,3.33,3.33,0.00,0.00,10.00,10.00,3.33,0.00,3.33,10.00,0.00,0.00,0.00,сүз,охшаш
шура	киңәш,6.66,6.66,10.00,10.00,10.00,3.33,10.00,3.33,3.33,10.00,6.66,0.00,10.00,шура,киңәш
хаким	интервью,3.33,6.66,0.00,0.00,0.00,3.33,3.33,0.00,0.00,3.33,0.00,0.00,0.00,хаким,интервью
БМО	ил,10.00,10.00,6.66,10.00,10.00,10.00,0.00,10.00,6.66,10.00,6.66,0.00,10.00,БМО,ил
тынычлык	атмосфера,6.66,3.33,0.00,3.33,3.33,0.00,6.66,3.33,6.66,6.66,0.00,0.00,0.00,тынычлык,атмосфера
тынычлык	бурыч,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,3.33,10.00,0.00,0.00,0.00,тынычлык,бурыч
җир	километр,6.66,3.33,0.00,3.33,10.00,6.66,6.66,10.00,6.66,10.00,6.66,3.33,3.33,җир,километр
ярыш	бәя,0.00,0.00,3.33,6.66,6.66,3.33,0.00,3.33,3.33,10.00,3.33,0.00,0.00,ярыш,бәя
кулланучылар	ышаныч,6.66,3.33,3.33,3.33,6.66,0.00,0.00,0.00,3.33,6.66,0.00,0.00,3.33,кулланучылар,ышаныч
кулланучылар	энергия,0.00,0.00,0.00,0.00,3.33,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,кулланучылар,энергия
мәсьәлә	аэропорт,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,мәсьәлә,аэропорт
машина	очу,3.33,3.33,3.33,3.33,6.66,0.00,3.33,6.66,0.00,3.33,0.00,0.00,0.00,машина,очу
кредит	карта,6.66,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,6.66,3.33,10.00,кредит,карта
кредит	мәгълүмат,3.33,0.00,0.00,0.00,10.00,3.33,0.00,3.33,3.33,6.66,3.33,0.00,6.66,кредит,мәгълүмат
кунакханә	бүлмә,10.00,10.00,10.00,10.00,10.00,10.00,10.00,6.66,10.00,10.00,0.00,6.66,10.00,кунакханә,бүлмә
ашамлыклар	акча,6.66,3.33,0.00,3.33,10.00,6.66,6.66,0.00,6.66,10.00,0.00,0.00,3.33,ашамлыклар,акча
теркәү	килешү,3.33,3.33,0.00,10.00,3.33,0.00,3.33,6.66,6.66,10.00,0.00,3.33,6.66,теркәү,килешү
килешү	торак,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,6.66,0.00,0.00,0.00,килешү,торак
ай	кунакханә,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,6.66,0.00,0.00,0.00,ай,кунакханә
килү	кунакханә,6.66,3.33,3.33,6.66,6.66,3.33,6.66,10.00,3.33,10.00,6.66,0.00,3.33,килү,кунакханә
урын-җир	мендәр,10.00,0.00,10.00,3.33,10.00,0.00,10.00,3.33,3.33,0.00,6.66,3.33,10.00,урын-җир,мендәр
тукыма	кием-салым,10.00,6.66,10.00,10.00,10.00,10.00,6.66,10.00,6.66,10.00,6.66,3.33,10.00,тукыма,кием-салым
хәл	нәтиҗә,6.66,6.66,3.33,3.33,6.66,3.33,3.33,0.00,0.00,0.00,6.66,0.00,0.00,хәл,нәтиҗә
хәл	төрмә,6.66,0.00,3.33,3.33,6.66,3.33,0.00,3.33,0.00,3.33,0.00,0.00,0.00,хәл,төрмә
гаделлек	кызыксыну,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.66,0.00,0.00,0.00,гаделлек,кызыксыну
юнәлеш	борылыш,6.66,6.66,10.00,10.00,10.00,10.00,10.00,10.00,3.33,10.00,10.00,3.33,6.66,юнәлеш,борылыш
урам	балалар,6.66,6.66,3.33,3.33,10.00,6.66,6.66,3.33,6.66,10.00,6.66,0.00,0.00,урам,балалар
исемлек	якынлык,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,6.66,0.00,0.00,0.00,исемлек,якынлык
исемлек	төркем,6.66,3.33,0.00,6.66,6.66,10.00,10.00,0.00,3.33,6.66,3.33,3.33,3.33,исемлек,төркем
җитештерү	сәфәр,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,җитештерү,сәфәр
билге	күрсәткеч,6.66,3.33,10.00,10.00,10.00,6.66,6.66,6.66,10.00,10.00,6.66,3.33,6.66,билге,күрсәткеч
ММЧ	сәүдә,10.00,0.00,0.00,0.00,3.33,6.66,0.00,3.33,0.00,10.00,0.00,0.00,3.33,ММЧ,сәүдә
ММЧ	табыш,6.66,3.33,0.00,0.00,3.33,3.33,0.00,3.33,0.00,10.00,0.00,0.00,0.00,ММЧ,табыш
барлыгы	исәп-хисап,10.00,6.66,6.66,6.66,10.00,10.00,6.66,10.00,3.33,0.00,3.33,0.00,6.66,барлыгы,исәп-хисап
тәңкә	базар,10.00,6.66,10.00,10.00,6.66,10.00,10.00,6.66,6.66,6.66,3.33,3.33,6.66,тәңкә,базар
казылмалар	нефть,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,6.66,6.66,10.00,казылмалар,нефть
нефть	акция,6.66,6.66,10.00,6.66,0.00,10.00,3.33,0.00,3.33,0.00,0.00,3.33,6.66,нефть,акция
белдерү	җитештерү,3.33,10.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,6.66,0.00,0.00,0.00,белдерү,җитештерү
белдерү	кисәтү,10.00,10.00,6.66,3.33,6.66,10.00,6.66,6.66,6.66,6.66,6.66,3.33,6.66,белдерү,кисәтү
керем	кисәтү,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,керем,кисәтү
доллар	керем,10.00,10.00,3.33,10.00,10.00,10.00,6.66,6.66,6.66,10.00,6.66,3.33,10.00,доллар,керем
доллар	чыгым,10.00,10.00,3.33,10.00,10.00,10.00,6.66,6.66,6.66,10.00,6.66,3.33,10.00,доллар,чыгым
компьютер	программа,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,6.66,6.66,10.00,компьютер,программа
челтәр	мәгълүмат,6.66,3.33,10.00,10.00,10.00,6.66,6.66,6.66,6.66,10.00,6.66,3.33,3.33,челтәр,мәгълүмат
җиһазлар	җитештерүче,10.00,0.00,10.00,10.00,6.66,6.66,10.00,10.00,3.33,6.66,0.00,0.00,3.33,җиһазлар,җитештерүче
арба	машина,6.66,10.00,3.33,10.00,10.00,6.66,6.66,6.66,6.66,10.00,6.66,0.00,6.66,арба,машина
биш	ай,0.00,3.33,0.00,0.00,0.00,10.00,0.00,6.66,3.33,10.00,0.00,0.00,0.00,биш,ай
хисап	табыш,10.00,0.00,6.66,0.00,6.66,0.00,6.66,6.66,6.66,10.00,3.33,3.33,3.33,хисап,табыш
иганәче	кертем,10.00,10.00,10.00,10.00,10.00,10.00,0.00,10.00,6.66,10.00,6.66,3.33,6.66,иганәче,кертем
